pmid,title,abstract,authors,journal,pub_date,source,doi,pmc_link
40239008,Intronic FGF14 GAA repeat expansions impact progression and survival in multiple system atrophy.,,"Chelban V, Pellerin D, Vijiaratnam N, Lee H, Goh YY, Brown L, Sambin S, Seilhean D, Lehericy S, Iruzubieta P, Mohammad R, Self E, Scardamaglia A, Lee C, Ostrozovicova M, Dicaire MJ, Girges C, Gustavsson EK, Murphy D, Curless T, Laβ J, Trinh J, Rittman T, Rowe JB, Hadjivassiliou M, Archibald N, Danzi MC, Ashton C, Roth V, Wandzel M, Cheung WA, Gveric DO, De Vil B, Follett J, Leigh PN, Beichert L, Pastinen T, Bonnet C, Renaud M, Meissner WG, Sieben A, Crosiers D, Cras P, Zuchner S, Corvol JC, Farrer MJ, Synofzik M, Brais B, Warner T, Morris HR, Jaunmuktane Z, Foltynie T, Houlden H",Brain : a journal of neurology,2025 Apr 16,PubMed,,
40238956,Cognitive and neuropsychiatric profiles distinguish atypical parkinsonian syndromes.,,"Hu MT, Coma AQ, Rowe JB, Zerenner T, Church A, Fumi R, Constantini A, Jabbari E, Jensen MT, Gerhard A, Pavese N, Kobylecki C, Leigh PN, Koychev I, Morris H, Manohar SG",Brain : a journal of neurology,2025 Apr 16,PubMed,,
40227812,"Exploring the Microbiome's Impact on Glioma and Brain Metastases: Insights into Development, Progression, and Treatment Response-A Scoping Review.",,"Leigh J, Skidmore B, Wong A, Maleki Vareki S, Ng TL",Cancers,2025 Apr 4,PubMed,,
40220487,Dynamic immune response to Avian Pathogenic Escherichia coli infection in broiler chickens: Insights into pro-inflammatory and anti-inflammatory cytokine regulation: CYTOKINE REGULATION IN APEC INFECTED BROILERS.,,"Ye X, Hsu CY, Jia L, Zhang X, Magee C, Whitham S, Leigh S, Evans JD, Zhang L, Robinson K",Poultry science,2025 Jun,PubMed,,
40207266,Mitochondrial complex I deficiency in a 4-year-old boy due to compound heterozygous NDUFV1 mutation: a case report of a new pathogenic variant.,,"Haddad S, Salloum E, Silan A, Kalecioğlu G, Abdulnour M, Haddad S, Alasmar D, Alayash M, Ghaleb AN",Oxford medical case reports,2025 Apr,PubMed,,
40196808,"A randomised, parallel-group clinical trial comparing bedinvetmab to meloxicam for the management of canine osteoarthritis.",,"Innes JF, Lascelles BDX, Bell D, Tulloch R, McVey A, Northcott C, Welbourn M, Higgins K, Horakova V, Maddox TW",Frontiers in veterinary science,2025,PubMed,,
40190371,Adult-Onset Bilateral Optic Neuropathy in a Patient with Non-Familial Childhood-Onset Generalized Dystonia Associated with Mitochondrial DNA 14459G>A Mutation: A Case Report and Review of Literature.,,"Thaller M, Samra AP, Chaudhary UJ, Roque M, Pall H, Mollan SP, Srinivasan V",Neuro-ophthalmology (Aeolus Press),2025,PubMed,,
40186230,The wide phenotypic spectrum of thiamine metabolism dysfunction syndrome 5 and its treatment.,,"Dallan A, Reynolds G, Canavese C, Carli D, Luca M, Gazzin A, Spada M, Porta F, Mussa A",Orphanet journal of rare diseases,2025 Apr 4,PubMed,,
40158646,National Trends in Central Retinal Artery Occlusion Presentations and Stroke Workup in United States Emergency Department.,,"Akosman S, Yuan SM, Leigh A, Li R, Luo R, Asahi MG, Mishra K",American journal of ophthalmology,2025 Aug,PubMed,,
40153395,Development and comparison of single FLT3-inhibitors to dual FLT3/TAF1-inhibitors as an anti-leukemic approach.,,"Leigh RS, Kaynak BL, Ruskoaho H, Välimäki MJ",PloS one,2025,PubMed,,
40152495,The landscape of long non-coding RNA during cSCC progression.,,"Bone M, Schreyer D, Treanor-Taylor M, Proby CM, Harwood CA, Leigh IM, Bailey P, Inman GJ",The British journal of dermatology,2025 Mar 27,PubMed,,
40151474,A leigh syndrome mutation perturbs long-range energy coupling in respiratory complex I.,,"Hoeser F, Saura P, Harter C, Kaila VRI, Friedrich T",Chemical science,2025 Apr 30,PubMed,,
40149709,Leigh Syndrome: A Comprehensive Review of the Disease and Present and Future Treatments.,,"Magro G, Laterza V, Tosto F",Biomedicines,2025 Mar 17,PubMed,,
40149498,Mitochondrial DNA Pathogenic Variants in Ophthalmic Diseases: A Review.,,"Abu-Amero KK, Almadani B, Abualkhair S, Hameed S, Kondkar AA, Sollazzo A, Yu AC, Busin M, Zauli G",Genes,2025 Mar 17,PubMed,,
40141770,Hard-to-Treat Areas in Psoriasis: An Underevaluated Part of the Disease.,,"Lupulescu AM, Savu AP, Bucur Ş, Şerban ED, Popescu S, Constantin MM","Life (Basel, Switzerland)",2025 Mar 7,PubMed,,
40140764,Adult-onset Leigh syndrome with recurrent seizures and peripheral neuropathy due to the 9176T > C mutation: a case report and literature review.,,"Liao Y, Lai Y, Chen X, Zhao S",BMC neurology,2025 Mar 26,PubMed,,
40139210,"Local anaesthetic transperineal biopsy versus transrectal prostate biopsy in prostate cancer detection (TRANSLATE): a multicentre, randomised, controlled trial.",,"Bryant RJ, Marian IR, Williams R, Lopez JF, Mercader C, Raslan M, Berridge C, Whitburn J, Campbell T, Tuck S, Barber VS, Scaife J, Hewitt A, Taylor A, Ooms A, Landeiro F, Little M, Wolstenholme J, Ghosh S, Reynard JM, Hamdy FC, Liew MPC, Leslie TA, Catto JWF, Rosario DJ, Omer A, Good DW, Gray RH, Kommu S, Chung D, Wells H, Narahari K, Macpherson RE, Verrill C, Eddy B, Yamamoto H, Lamb AD, TRANSLATE Trial Study Group",The Lancet. Oncology,2025 May,PubMed,,
40119613,Type 2 Inflammation and Its Role in Dermatologic Diseases.,,"Chovatiya R, Hawkes JE, DiRuggiero D, Pansch LA, Simcox E, Gonzalez T",International journal of dermatology,2025 Jun,PubMed,,
40118030,Small-molecule hypoxia therapy in mitochondrial disease.,,Falk MJ,Cell,2025 Mar 20,PubMed,,
40112238,Natural History of Patients With Mitochondrial ATPase Deficiency Due to Pathogenic Variants of MT-ATP6 and MT-ATP8.,,"Carli S, Levarlet A, Diodato D, Bertini ES, Martinelli D, Malandrini A, Lopergolo D, Gallus GN, Ganetzky RD, La Morgia C, Carelli V, Primiano G, Domínguez-González C, Serrano-Lorenzo P, Martín MA, Ardissone A, Lamperti C, Nicoletta V, Klopstock T, Distelmaier F, Zeng L, Büchner B, Mancuso M, Schuelke M, Prigione A, Garone C",Neurology,2025 Apr,PubMed,,
40102496,Altered auditory brainstem responses are post-acute sequela of SARS-CoV-2 (PASC).,,"Niemczak C, Skoe E, Leigh S, Zhang L, Dotzenrod M, Kieley A, Stone S, Parsonnet J, Martin C, Ealer C, Clavier O, Gui J, Waszkiewicz A, Roth R, Buckey J",Scientific reports,2025 Mar 18,PubMed,,
40070441,Distinct spatiotemporal atrophy patterns in corticobasal syndrome are associated with different underlying pathologies.,,"Scotton WJ, Shand C, Todd EG, Bocchetta M, Kobylecki C, Cash DM, VandeVrede L, Heuer HW, Quaegebeur A, Young AL, Oxtoby N, Alexander D, Rowe JB, Morris HR, PROSPECT Consortium, Boxer AL, 4RTNI Consortium, Rohrer JD, Wijeratne PA",Brain communications,2025,PubMed,,
40056416,Ectopic protein lysine methacrylation contributes to defects caused by loss of HIBCH or ECHS1.,,"Li Y, Wu T, Li Y, Xu C, Zhou C, Li Z, Shang W, Wang L, Liu Z, Wang J, Liu Y, Fang F, Yang B, Tong C",Cell reports,2025 Mar 25,PubMed,,
40050739,Two tales of therapeutic innovations for Leigh syndrome spectrum.,,Lin WS,Journal of neurogenetics,2025 Mar,PubMed,,
40041771,Trends in Research on Hypertrophic Cardiomyopathy and Mitochondria From 2003 to 2023: A Bibliometric Analysis.,,"Yang L, Zhang H, Zhu Z, Wang J, Liu X, Lu L, Huang J, Wang M, Zhu Z",Health science reports,2025 Mar,PubMed,,
40032242,Evaluating the role of simple assistive devices in promoting motivation and self-care in chronic disease management.,,"Kulkarni S, Chockalingam N, Chambers R, Poulose P, Suresh S, Thileepan L, Nachiappan N",Preventive medicine,2025 Apr,PubMed,,
40025449,Procalcitonin use in febrile children attending European emergency departments: a prospective multicenter study.,,"Borensztajn DM, Zachariasse JM, Carrol ED, Nijman RG, von Both U, Emonts M, Herberg J, Kohlmaier B, Levin M, Lim E, Maconochie IK, Martinón-Torres F, Pokorn M, Rivero-Calle I, Rudzāte A, Tan CD, Tsolia M, Vermont C, Zavadska D, Zenz W, Moll HA, PERFORM consortium: Personalised Risk assessment in febrile children to optimise Real-life Management across the European Union",BMC pediatrics,2025 Mar 1,PubMed,,
39989621,Progression of Otologic and Nasal Symptoms in Primary Ciliary Dyskinesia Throughout Childhood.,,"Dagher I, Kimple AJ, Ferkol TW, Sagel SD, Dell SD, Milla CE, Li L, Lin FC, Sullivan KM, Zariwala MA, Knowles MR, Rosenfeld M, Leigh MW, Davis SD, Genetic Disorders of Mucociliary Clearance Consortium",OTO open,2025 Jan-Mar,PubMed,,
39980532,"Leber Hereditary Optic Neuropathy ""Plus"" with the m.14487 T>C Mutation as the Causality of Hemidystonia: A Case Report.",,"Takano F, Ueda K, Chihara N, Arai M, Sakamoto M, Kurimoto T, Yamada-Nakanishi Y, Nakamura M",Case reports in ophthalmology,2024 Jan-Dec,PubMed,,
39967265,Polyamine metabolism is dysregulated in COXFA4-related mitochondrial disease.,,"Marquez J, Viviano S, Beckman E, Thies J, Friedland-Little J, Lam CT, Deniz E, Shelkowitz E",HGG advances,2025 Apr 10,PubMed,,
39966644,ImmuneLENS characterizes systemic immune dysregulation in aging and cancer.,,"Bentham R, Jones TP, Black JRM, Martinez-Ruiz C, Dietzen M, Litovchenko M, Thol K, Watkins TBK, Bailey C, Pich O, Zhang Z, Van Loo P, TRACERx Consortium, Genomics England Consortium, Swanton C, McGranahan N",Nature genetics,2025 Mar,PubMed,,
39965572,"HypoxyStat, a small-molecule form of hypoxia therapy that increases oxygen-hemoglobin affinity.",,"Blume SY, Garg A, Martí-Mateos Y, Midha AD, Chew BTL, Lin B, Yu C, Dick R, Lee PS, Situ E, Sarwaikar R, Green E, Ramanan V, Grotenbreg G, Hoek M, Sinz C, Jain IH",Cell,2025 Mar 20,PubMed,,
